book_id,title,author,google_id,cover_url
1,حول العالم فى 80 يوما,جول فيرن,NcPXzwEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1595602283i/54659802.jpg
2,الفيل الأزرق,أحمد مراد,M-9tDQAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485105416i/16031620.jpg
3,High Citadel,Desmond Bagley,7p0LnwEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1173514191i/299766.jpg
4,مقدمة ابن خلدون,ابن خلدون,OsVSYgEACAAJ,https://assets.asfar.io/uploads/2021/02/%D9%85%D9%82%D8%AF%D9%85%D8%A9-%D8%A7%D8%A8%D9%86-%D8%AE%D9%84%D8%AF%D9%88%D9%86-.jpg
5,Social Engineering: The Art of Human Hacking,Christopher Hadnagy,9LpawpklYogC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328301595i/10052104.jpg
6,Unmasking the Social Engineer: The Human Element of Security,Christopher Hadnagy,CuTAAgAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390176357i/17891457.jpg
7,Feel the Fear and Do It Anyway,Susan Jeffers,EOZ0EAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1363288028i/653396.jpg
8,The Subtle Art of Not Giving a Fuck,Mark Manson,mR_5vQEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685834422i/49682914.jpg
9,Angels and Demons,Dan Brown,K__fyN2gl9gC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960.jpg
10,The Truth About Leadership,James M. Kouzes,Ms3DZUp2OkYC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392026601i/9311885.jpg
11,The Definitive Book of Body Language,Allan Pease,RObNCwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320537802i/262731.jpg
12,The Perks of Being a Wallflower,Stephen Chbosky,pK0X5FyUs28C,https://m.media-amazon.com/images/I/81I7vXqjEML._SL1500_.jpg
13,Think And Grow Rich,Napoleon Hill,TCf-DwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463241782i/30186948.jpg
14,IT,Stephen King,S85NCwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502.jpg
15,The First Muslim,Lesley Hazleton,HoTj9ssp4-QC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1350922573i/15815359.jpg
16,Things You See Only When You Slow Down,Haemin Sunim,3brDswEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579340833i/30780006.jpg
17,Emotional Intelligence,Daniel Goleman,5AsRAQAAIAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388185411i/26329.jpg
18,النبى,خليل جبران,m5vQDwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360055738i/17334583.jpg
19,To Kill a Mockingbird,Harper Lee,qiCrCQAAQBAJ,https://cdn2.penguin.com.au/covers/400/9781473517714.jpg
20,Different Seasons,Stephen King,Hs3NCwAAQBAJ,https://hachette.imgix.net/books/9781444723601.jpg?auto=compress&w=440
21,بين القصرين,نجيب محفوظ,U_n-EAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518513255i/3840581.jpg
22,The Green Mile,Stephen King,v-IoDwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1373903563i/11566.jpg
23,12 Rules Of Life,Jordon B. Peterson,sxVHDwAAQBAJ,https://cdn2.penguin.com.au/covers/original/9780141988511.jpg
24,الجريمة و العقاب,فيودور دوستويفسكي,JCf8vwEACAAJ,https://covers.storytel.com/jpg-640/9789179094980.ad687119-ed22-41c6-a50f-259ffd3136f7?optimize=high&quality=70&width=600
25,Man's Searching For A Meaning,Viktor E Frankl,EbltAAAAQBAJ,https://cdn2.penguin.com.au/covers/original/9781846041242.jpg
26,القاهرة الجديدة,نجيب محفوظ,V71_EAAAQBAJ,https://diwanegypt.com/wp-content/uploads/2022/12/9789778616262.jpg
27,يوميات نائب فى الأرياف,توفيق الحكيم,fN3LEAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1346607068i/15982156.jpg
28,Talk Like TED,Carmine Gallo,upebAgAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1396823321i/17910144.jpg
29,Animal Farm,George Orwell,o6eSDwAAQBAJ,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjXEnHXNMkY85J1PySmNruGzLGlOO7lZ8flQJ-aLFm1ULzyq7lhjLcVOh15D69vXceH6RrzEet434Rd_lKXV307OlQcS4Ez8YAMv83bBVIrHewi1-6TqAsya6a3zOEpBL0agIhHusqFfGIj/s1600/Animal+Farm.jpg
30,A Brief History Of Time,Stephen Hawking,iOBT0qN8DKUC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333578746i/3869.jpg
31,The Idiot Brain,Dean Burnett,-Nr_CwAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1455548551i/29100837.jpg
32,شجرتى شجرة البرتقال الرائعة,خوسيه ماورو دي فاسكونسيلوس,CW87uwEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511638272i/36660125.jpg
33,خلق المسلم,محمد الغزالي,6JbKEAAAQBAJ,https://mktbtypdf.com/wp-content/uploads/2022/03/خلق-المسلم-محمد-الغزالي-pdf.jpg
34,The Crowd,Gustave Le Bon,fh2wv0VVfnQC,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1381744706i/9313418.jpg
35,الإخوة كارامازوف,فيودور دوستويفسكي,9teczgEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505604670i/36252495.jpg
36,قصر الشوق,نجيب محفوظ,KO1xEAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632369819i/4591499.jpg
37,السكرية,نجيب محفوظ,Ufn-EAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1635078545i/4002165.jpg
38,الحرافيش,نجيب محفوظ,R8VvEAAAQBAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347915841i/5295735.jpg
39,What Everybody Is Saying,Joe Navarro,1lNx0AEACAAJ,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355055362i/1173576.jpg
40,Why We Sleep,Matthew Walker,ZlU3DwAAQBAJ,https://cdn2.penguin.com.au/covers/400/9780141983769.jpg
